Timestep,# solution phases,# pure condensed phases,S:MSFL,S:bccsoln,S:cphsoln,S:gas_ideal
0,1,0,1,,,
1,4,0,1,1,1,1
2,4,0,1,1,1,1
4,4,0,1,1,1,1
5,4,0,1,1,1,1
6,4,0,1,1,1,1
7,4,0,1,1,1,1
8,4,0,1,1,1,1
9,4,0,1,1,1,1
10,4,0,1,1,1,1
11,4,0,1,1,1,1
12,4,0,1,1,1,1
13,4,0,1,1,1,1
14,4,0,1,1,1,1
15,3,0,1,1,,1
16,3,0,1,1,,1
18,3,0,1,1,,1
19,3,0,1,1,,1
22,3,0,1,1,,1
23,3,0,1,1,,1
24,3,0,1,1,,1
26,3,0,1,1,,1
27,3,0,1,1,,1
28,3,0,1,1,,1
29,3,0,1,1,,1
30,3,0,1,1,,1
31,3,0,1,1,,1
32,3,0,1,1,,1
33,3,0,1,1,,1
35,3,0,1,1,,1
36,3,0,1,1,,1
37,3,0,1,1,,1
38,3,0,1,1,,1
39,3,0,1,1,,1
40,3,0,1,1,,1
42,3,0,1,1,,1
43,3,0,1,1,,1
44,3,0,1,1,,1
47,3,0,1,1,,1
48,3,0,1,1,,1
49,3,0,1,1,,1
50,3,0,1,1,,1
51,3,0,1,1,,1
53,3,0,1,1,,1
54,3,0,1,1,,1
55,3,0,1,1,,1
56,3,0,1,1,,1
57,3,0,1,1,,1
58,3,0,1,1,,1
59,3,0,1,1,,1
60,3,0,1,1,,1
61,3,0,1,1,,1
62,3,0,1,1,,1
64,3,0,1,1,,1
65,3,0,1,1,,1
67,3,0,1,1,,1
68,3,0,1,1,,1
69,3,0,1,1,,1
71,3,0,1,1,,1
72,3,0,1,1,,1
73,3,0,1,1,,1
74,3,0,1,1,,1
75,3,0,1,1,,1
76,3,0,1,1,,1
77,3,0,1,1,,1
78,3,0,1,1,,1
79,3,0,1,1,,1
81,3,0,1,1,,1
82,3,0,1,1,,1
83,3,0,1,1,,1
84,3,0,1,1,,1
85,3,0,1,1,,1
86,3,0,1,1,,1
87,3,0,1,1,,1
88,3,0,1,1,,1
89,3,0,1,1,,1
90,3,0,1,1,,1
91,3,0,1,1,,1
92,3,0,1,1,,1
93,3,0,1,1,,1
94,3,0,1,1,,1
95,3,0,1,1,,1
96,3,0,1,1,,1
99,3,0,1,1,,1
101,3,0,1,1,,1
102,3,0,1,1,,1
103,3,0,1,1,,1
105,3,0,1,1,,1
106,3,0,1,1,,1
107,3,0,1,1,,1
108,3,0,1,1,,1
109,3,0,1,1,,1
110,3,0,1,1,,1
111,3,0,1,1,,1
112,3,0,1,1,,1
113,3,0,1,1,,1
114,3,0,1,1,,1
115,3,0,1,1,,1
116,3,0,1,1,,1
117,3,0,1,1,,1
118,3,0,1,1,,1
119,3,0,1,1,,1
120,3,0,1,1,,1
121,3,0,1,1,,1
122,3,0,1,1,,1
123,3,0,1,1,,1
124,3,0,1,1,,1
125,3,0,1,1,,1
126,3,0,1,1,,1
127,3,0,1,1,,1
128,3,0,1,1,,1
129,3,0,1,1,,1
131,3,0,1,1,,1
132,3,0,1,1,,1
133,3,0,1,1,,1
134,3,0,1,1,,1
136,3,0,1,1,,1
137,3,0,1,1,,1
138,3,0,1,1,,1
139,3,0,1,1,,1
140,3,0,1,1,,1
141,3,0,1,1,,1
142,3,0,1,1,,1
143,3,0,1,1,,1
145,3,0,1,1,,1
146,3,0,1,1,,1
147,3,0,1,1,,1
148,3,0,1,1,,1
149,3,0,1,1,,1
150,3,0,1,1,,1
153,3,0,1,1,,1
155,3,0,1,1,,1
156,3,0,1,1,,1
157,3,0,1,1,,1
159,3,0,1,1,,1
160,3,0,1,1,,1
162,3,0,1,1,,1
163,3,0,1,1,,1
165,3,0,1,1,,1
166,3,0,1,1,,1
168,3,0,1,1,,1
169,3,0,1,1,,1
170,3,0,1,1,,1
172,3,0,1,1,,1
173,3,0,1,1,,1
174,3,0,1,1,,1
175,3,0,1,1,,1
176,3,0,1,1,,1
177,3,0,1,1,,1
178,3,0,1,1,,1
179,3,0,1,1,,1
180,3,0,1,1,,1
181,3,0,1,1,,1
182,3,0,1,1,,1
183,3,0,1,1,,1
184,3,0,1,1,,1
185,3,0,1,1,,1
186,3,0,1,1,,1
187,3,0,1,1,,1
189,3,0,1,1,,1
190,3,0,1,1,,1
191,3,0,1,1,,1
193,3,0,1,1,,1
194,3,0,1,1,,1
195,3,0,1,1,,1
196,3,0,1,1,,1
198,3,0,1,1,,1
199,3,0,1,1,,1
200,3,0,1,1,,1
201,3,0,1,1,,1
202,3,0,1,1,,1
203,3,0,1,1,,1
204,3,0,1,1,,1
206,3,0,1,1,,1
207,3,0,1,1,,1
208,3,0,1,1,,1
209,3,0,1,1,,1
210,3,0,1,1,,1
213,3,0,1,1,,1
214,3,0,1,1,,1
216,3,0,1,1,,1
217,3,0,1,1,,1
219,3,0,1,1,,1
220,3,0,1,1,,1
223,3,0,1,1,,1
226,3,0,1,1,,1
227,3,0,1,1,,1
229,3,0,1,1,,1
235,3,0,1,1,,1
236,3,0,1,1,,1
237,3,0,1,1,,1
238,3,0,1,1,,1
239,3,0,1,1,,1
240,3,0,1,1,,1
241,3,0,1,1,,1
242,3,0,1,1,,1
243,3,0,1,1,,1
244,3,0,1,1,,1
245,3,0,1,1,,1
253,3,0,1,1,,1
256,3,0,1,1,,1
