Timestep,Cr2+/Cr3+ Ratio
7,2.5957491517e-18
8,2.5373415671e-18
9,2.4831481038e-18
10,2.4347962151e-18
11,2.3886694756e-18
12,2.3468735644e-18
13,2.3091741963e-18
14,2.2738742186e-18
15,2.2416871386e-18
16,2.2118326363e-18
18,2.1589241526e-18
19,2.1351831999e-18
20,2.1130456483e-18
21,2.0933769126e-18
22,2.0744290325e-18
24,2.0401639752e-18
25,2.0247064059e-18
26,2.0098235876e-18
27,1.9961241379e-18
28,1.9829217719e-18
29,1.9701942363e-18
30,1.9582941521e-18
31,1.9469202995e-18
32,1.9362752939e-18
33,1.9258578528e-18
34,1.9159755614e-18
35,1.9067017767e-18
36,1.8976915291e-18
37,1.8890944422e-18
38,1.8805420577e-18
39,1.8724501997e-18
40,1.8649177088e-18
41,1.8574987968e-18
42,1.8504868997e-18
43,1.8436163499e-18
44,1.8369779237e-18
45,1.8305712261e-18
46,1.8243916643e-18
47,1.8183710213e-18
49,1.8069911961e-18
50,1.8016160178e-18
51,1.7963951836e-18
52,1.7912247361e-18
53,1.7862070893e-18
54,1.7813318367e-18
55,1.7766741713e-18
57,1.7677209358e-18
58,1.7634200739e-18
59,1.7591628025e-18
60,1.7550549494e-18
61,1.7510758944e-18
63,1.7434069486e-18
64,1.7397087066e-18
65,1.7360964215e-18
66,1.7325825529e-18
67,1.7291441880e-18
68,1.7258651028e-18
69,1.7225825810e-18
70,1.7193952743e-18
71,1.7162940414e-18
73,1.7102862120e-18
74,1.7073733521e-18
75,1.7045971788e-18
76,1.7018056067e-18
77,1.6990630656e-18
78,1.6964280790e-18
79,1.6937794404e-18
81,1.6887008374e-18
82,1.6862117659e-18
83,1.6838517109e-18
85,1.6791340355e-18
87,1.6746413128e-18
88,1.6724637551e-18
89,1.6702763431e-18
92,1.6640253800e-18
93,1.6620442751e-18
94,1.6601089460e-18
95,1.6581412040e-18
96,1.6562306845e-18
97,1.6543619141e-18
99,1.6506870705e-18
100,1.6488633666e-18
101,1.6471427503e-18
102,1.6454523142e-18
103,1.6437057144e-18
104,1.6420299391e-18
105,1.6403812563e-18
106,1.6387691224e-18
107,1.6371408711e-18
109,1.6340759977e-18
110,1.6325087523e-18
111,1.6310012828e-18
112,1.6295426057e-18
113,1.6280848886e-18
114,1.6266600684e-18
115,1.6252633426e-18
117,1.6224396287e-18
118,1.6211058551e-18
119,1.6197350737e-18
121,1.6171029455e-18
123,1.6145604461e-18
124,1.6133136469e-18
125,1.6120749268e-18
127,1.6096115686e-18
128,1.6084423725e-18
129,1.6072688691e-18
130,1.6060742954e-18
131,1.6049208457e-18
133,1.6027246343e-18
134,1.6015817722e-18
135,1.6004395770e-18
136,1.5993730138e-18
137,1.5983260075e-18
138,1.5972686638e-18
139,1.5962405688e-18
140,1.5952196881e-18
142,1.5931497796e-18
143,1.5921724254e-18
144,1.5911962732e-18
145,1.5902249094e-18
146,1.5892730683e-18
148,1.5874303811e-18
149,1.5864837991e-18
150,1.5855757121e-18
151,1.5846715688e-18
152,1.5837882881e-18
154,1.5820025800e-18
155,1.5811824200e-18
156,1.5803144557e-18
157,1.5794615731e-18
159,1.5778020331e-18
161,1.5761600741e-18
162,1.5754157431e-18
164,1.5738326947e-18
166,1.5722481966e-18
168,1.5707303676e-18
169,1.5700171858e-18
170,1.5692780212e-18
171,1.5685627553e-18
172,1.5678289831e-18
173,1.5671295434e-18
174,1.5664303026e-18
175,1.5657319102e-18
176,1.5650518012e-18
177,1.5643754872e-18
178,1.5636783089e-18
179,1.5630051874e-18
180,1.5623868258e-18
181,1.5617082855e-18
182,1.5610377952e-18
183,1.5603956188e-18
184,1.5597596134e-18
185,1.5591118131e-18
186,1.5584876171e-18
188,1.5572634330e-18
189,1.5566636105e-18
190,1.5560560590e-18
191,1.5554369981e-18
192,1.5548534259e-18
193,1.5542940910e-18
194,1.5537543133e-18
195,1.5531618382e-18
196,1.5525507903e-18
197,1.5520046509e-18
198,1.5514307773e-18
199,1.5508403863e-18
200,1.5502790436e-18
201,1.5497126187e-18
202,1.5492021230e-18
203,1.5486181943e-18
204,1.5480833595e-18
206,1.5470301797e-18
207,1.5465341091e-18
208,1.5459575559e-18
209,1.5454914747e-18
210,1.5450119179e-18
211,1.5445131959e-18
212,1.5439663993e-18
213,1.5435345624e-18
214,1.5429892580e-18
215,1.5424923579e-18
216,1.5420394662e-18
217,1.5416186943e-18
218,1.5411419041e-18
219,1.5406606853e-18
220,1.5401633056e-18
221,1.5397459591e-18
222,1.5392799349e-18
223,1.5388303306e-18
225,1.5379344029e-18
227,1.5370603679e-18
228,1.5366308694e-18
229,1.5361800262e-18
230,1.5357053092e-18
231,1.5353024540e-18
232,1.5348501191e-18
233,1.5344392895e-18
234,1.5340743417e-18
235,1.5336148128e-18
236,1.5332559718e-18
237,1.5328431859e-18
238,1.5324204639e-18
239,1.5319996920e-18
240,1.5316313117e-18
241,1.5312233483e-18
242,1.5308161338e-18
244,1.5300277737e-18
245,1.5296414854e-18
246,1.5292550141e-18
248,1.5284688562e-18
250,1.5277369477e-18
252,1.5269597443e-18
253,1.5265928959e-18
254,1.5262182396e-18
257,1.5251432021e-18
258,1.5247997388e-18
259,1.5244497499e-18
261,1.5237829906e-18
262,1.5234078283e-18
264,1.5227766448e-18
265,1.5224123436e-18
266,1.5221309060e-18
267,1.5218403082e-18
268,1.5214625826e-18
269,1.5211992807e-18
