Timestep,UF3/UF4 Ratio
1,6.5862306259e-22
2,7.4716065660e-22
3,7.7900668403e-22
4,7.8074526043e-22
5,7.6820503568e-22
6,7.5212645440e-22
7,7.3609514311e-22
8,7.1962480176e-22
9,7.0406749400e-22
11,6.7723970713e-22
13,6.5524629834e-22
14,6.4583901737e-22
15,6.3728391592e-22
17,6.2238241064e-22
20,6.0561048282e-22
21,6.0060439536e-22
22,5.9619120827e-22
23,5.9247449465e-22
24,5.8864666786e-22
25,5.8506082825e-22
26,5.8165856532e-22
27,5.7853119200e-22
28,5.7592305272e-22
29,5.7342608666e-22
30,5.7068264907e-22
31,5.6843257665e-22
32,5.6637510352e-22
33,5.6432556304e-22
34,5.6231818407e-22
35,5.6042411222e-22
36,5.5849085865e-22
37,5.5681291662e-22
38,5.5529016301e-22
39,5.5356527011e-22
41,5.5078430292e-22
42,5.4928241720e-22
43,5.4803019807e-22
44,5.4656701762e-22
45,5.4536103011e-22
46,5.4128513094e-22
47,5.3966260895e-22
48,5.3857022633e-22
49,5.3733834500e-22
50,5.3593725949e-22
51,5.3491854745e-22
52,5.3351077420e-22
53,5.3249036588e-22
54,5.3124654256e-22
55,5.3026624587e-22
56,5.2932566983e-22
58,5.2713389138e-22
59,5.2628516334e-22
61,5.2423605499e-22
62,5.2343040447e-22
64,5.2169501119e-22
65,5.2099056202e-22
66,5.2029589182e-22
67,5.1938983419e-22
68,5.1875528313e-22
69,5.1812680213e-22
70,5.1756138353e-22
71,5.1695286404e-22
72,5.1628876852e-22
73,5.1565086872e-22
74,5.1514433729e-22
75,5.1444043590e-22
76,5.1396868297e-22
77,5.1348177237e-22
78,5.1299039469e-22
79,5.1252293404e-22
80,5.1211035815e-22
81,5.1171968137e-22
82,5.1112883963e-22
84,5.0855612938e-22
88,5.0738817638e-22
90,5.0641070312e-22
92,5.0553142335e-22
93,5.0520784716e-22
94,5.0464732806e-22
95,5.0425842283e-22
96,5.0379375993e-22
99,5.0278644461e-22
100,5.0222552730e-22
101,5.0195255522e-22
102,5.0147012435e-22
103,5.0116435708e-22
104,5.0104041655e-22
106,5.0032580607e-22
107,4.9986974496e-22
108,4.9940547299e-22
109,4.9919565431e-22
110,4.9910111660e-22
111,4.9876952741e-22
112,4.9854044862e-22
116,4.9757130057e-22
118,4.9708473348e-22
119,4.9552656267e-22
120,4.9531001047e-22
122,4.9533265230e-22
124,4.9502194596e-22
130,4.9420072416e-22
132,4.9377681688e-22
134,4.9352459241e-22
136,4.9290521479e-22
138,4.9276730845e-22
144,4.9171196496e-22
146,4.9141017380e-22
