Timestep,Salt:MSFL,Gas:gas_ideal,Solid:BaF2_FM3M_No.225(s),Solid:BeF2_L1(liq),Solid:C2_c,Solid:CsBe2F5_S2(s2),Solid:FM3M,Solid:Li2BeF4_S1(s),Solid:P3c1,Solid:R3c,Solid:SrF2_FM3M_No.225(s),Solid:bccsoln,Solid:cphsoln
0,0.6493140020458581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6493107676217548,7.717666402559169e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.891615315702839e-07,1.9454660251547178e-08
2,0.6493059116060843,1.5678619137403433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.725022372774934e-07,1.7629252933439727e-08
3,0.6493006799103236,2.400617702574814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.362281285006787e-07,1.6296728028839605e-08
4,0.6492956951182014,3.240971619101697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.926809678487106e-07,1.6714951720377747e-08
5,0.6492908184531805,4.094103549567566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0486029252915127e-06,1.603126589598592e-08
6,0.6492861324981252,4.953856350428252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2049974492611558e-06,1.538121459754163e-08
7,0.6492815890778949,5.8198712868780615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3621012431344934e-06,1.4752819490544947e-08
10,0.6492687744296647,8.457556138894573e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8376306391439722e-06,1.2902730976641278e-08
11,0.6492648265579064,9.320569943846689e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9911684954885744e-06,1.2180685312932295e-08
12,0.6492610947794974,0.00010159303385982758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139033393262725e-06,1.1371368097700174e-08
13,0.6492574831451959,0.00010997643412823837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.295768615948993e-06,3.000116823578501e-09
14,0.6492543560353571,0.0001178940597263259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4360760392722015e-06,1.3293614417022881e-09
15,0.6492512798246091,0.00012594192035313425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.579129913822148e-06,0.0
16,0.6492482375216387,0.00013401746849636594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7210863020748766e-06,0.0
18,0.6492427859152418,0.00014923419187170541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.985445862191877e-06,0.0
19,0.6492400754046632,0.0001570150689296144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1214695821123344e-06,0.0
20,0.6492376903669596,0.00016412691833921078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2429822188302945e-06,0.0
21,0.6492353367545741,0.0001713267528224454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367123881159517e-06,0.0
22,0.6492329924536623,0.00017843617328558496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4890200860085887e-06,0.0
23,0.6492306387866715,0.00018577875857644777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6159543372330175e-06,0.0
24,0.6492283892819862,0.00019296984586839047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.739986565032342e-06,0.0
25,0.6492267124365514,0.00019879419192136215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.837282047402514e-06,0.0
26,0.6492241561918459,0.000206921970348859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.979917371757995e-06,0.0
27,0.6492223811640322,0.0002131391051953756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085079173019523e-06,0.0
29,0.6492188342861813,0.0002259135501478606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.303067759613567e-06,0.0
30,0.6492168781386725,0.00023271227913455753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.419962478083416e-06,0.0
32,0.6492136147251011,0.0002450389795468784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6294508177358125e-06,0.0
33,0.6492121628525283,0.00025116611128086575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.734274550210062e-06,0.0
34,0.6492106118068162,0.00025715398529397915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.835894446869412e-06,0.0
35,0.6492088741021684,0.0002632705193799041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.939978413354658e-06,0.0
37,0.6492064521221399,0.00027425477125402574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1266854838813585e-06,0.0
39,0.6492040503857234,0.0002852849381852065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.314487722729098e-06,0.0
40,0.6492024961950926,0.0002919197467313984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.429381619044915e-06,0.0
41,0.6492017488238535,0.0002965263337721663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50658254919106e-06,0.0
43,0.6491996336327733,0.00030757176757726084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6968422346003e-06,0.0
44,0.6491989014845794,0.00031218515164417067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.774480706994668e-06,0.0
45,0.6491971387804016,0.0003191642849060447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.896407790526105e-06,0.0
47,0.6491958242677363,0.00032808092609858466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.046606568668164e-06,0.0
48,0.6491945031941132,0.00033391361794498655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.146885055143756e-06,0.0
49,0.6491935729289079,0.0003386732599433973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.227990770309997e-06,0.0
50,0.6491929190799861,0.0003436791092251784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.313863355246099e-06,0.0
51,0.6491922991953224,0.00034756556971203133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.378563491558404e-06,0.0
52,0.6491914711435657,0.0003525012069965097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.463247141980115e-06,0.0
53,0.6491906794163872,0.0003573264402408388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.546333094551666e-06,0.0
54,0.6491901029315366,0.0003615228886456707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.616999418011118e-06,0.0
55,0.6491893198005212,0.000366504751683628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.703177168190803e-06,0.0
