Timestep,# solution phases,# pure condensed phases,S:C2_c,S:FM3M,S:MSFL,S:P3c1,S:R3c,S:bccsoln,S:cphsoln,S:gas_ideal,P:BaF2_FM3M_No.225(s),P:BeF2_L1(liq),P:CsBe2F5_S2(s2),P:Li2BeF4_S1(s),P:SrF2_FM3M_No.225(s)
0,1,0,,,1,,,,,,,,,,
1,4,0,,,1,,,1,1,1,,,,,
2,4,0,,,1,,,1,1,1,,,,,
3,4,0,,,1,,,1,1,1,,,,,
4,4,0,,,1,,,1,1,1,,,,,
5,4,0,,,1,,,1,1,1,,,,,
6,4,0,,,1,,,1,1,1,,,,,
7,4,0,,,1,,,1,1,1,,,,,
10,4,0,,,1,,,1,1,1,,,,,
11,4,0,,,1,,,1,1,1,,,,,
12,4,0,,,1,,,1,1,1,,,,,
13,4,0,,,1,,,1,1,1,,,,,
14,4,0,,,1,,,1,1,1,,,,,
15,3,0,,,1,,,1,,1,,,,,
16,3,0,,,1,,,1,,1,,,,,
18,3,0,,,1,,,1,,1,,,,,
19,3,0,,,1,,,1,,1,,,,,
20,3,0,,,1,,,1,,1,,,,,
21,3,0,,,1,,,1,,1,,,,,
22,3,0,,,1,,,1,,1,,,,,
23,3,0,,,1,,,1,,1,,,,,
24,3,0,,,1,,,1,,1,,,,,
25,3,0,,,1,,,1,,1,,,,,
26,3,0,,,1,,,1,,1,,,,,
27,3,0,,,1,,,1,,1,,,,,
29,3,0,,,1,,,1,,1,,,,,
30,3,0,,,1,,,1,,1,,,,,
32,3,0,,,1,,,1,,1,,,,,
33,3,0,,,1,,,1,,1,,,,,
34,3,0,,,1,,,1,,1,,,,,
35,3,0,,,1,,,1,,1,,,,,
37,3,0,,,1,,,1,,1,,,,,
39,3,0,,,1,,,1,,1,,,,,
40,3,0,,,1,,,1,,1,,,,,
41,3,0,,,1,,,1,,1,,,,,
43,3,0,,,1,,,1,,1,,,,,
44,3,0,,,1,,,1,,1,,,,,
45,3,0,,,1,,,1,,1,,,,,
47,3,0,,,1,,,1,,1,,,,,
48,3,0,,,1,,,1,,1,,,,,
49,3,0,,,1,,,1,,1,,,,,
50,3,0,,,1,,,1,,1,,,,,
51,3,0,,,1,,,1,,1,,,,,
52,3,0,,,1,,,1,,1,,,,,
53,3,0,,,1,,,1,,1,,,,,
54,3,0,,,1,,,1,,1,,,,,
55,3,0,,,1,,,1,,1,,,,,
56,3,0,,,1,,,1,,1,,,,,
57,3,0,,,1,,,1,,1,,,,,
58,3,0,,,1,,,1,,1,,,,,
59,3,0,,,1,,,1,,1,,,,,
60,3,0,,,1,,,1,,1,,,,,
61,3,0,,,1,,,1,,1,,,,,
62,3,0,,,1,,,1,,1,,,,,
63,3,0,,,1,,,1,,1,,,,,
64,3,0,,,1,,,1,,1,,,,,
65,3,0,,,1,,,1,,1,,,,,
66,3,0,,,1,,,1,,1,,,,,
67,3,0,,,1,,,1,,1,,,,,
68,3,0,,,1,,,1,,1,,,,,
69,3,0,,,1,,,1,,1,,,,,
70,3,0,,,1,,,1,,1,,,,,
71,3,0,,,1,,,1,,1,,,,,
72,3,0,,,1,,,1,,1,,,,,
73,3,0,,,1,,,1,,1,,,,,
74,3,0,,,1,,,1,,1,,,,,
75,3,0,,,1,,,1,,1,,,,,
76,3,0,,,1,,,1,,1,,,,,
78,3,0,,,1,,,1,,1,,,,,
79,3,0,,,1,,,1,,1,,,,,
81,3,0,,,1,,,1,,1,,,,,
82,3,0,,,1,,,1,,1,,,,,
83,3,0,,,1,,,1,,1,,,,,
84,3,0,,,1,,,1,,1,,,,,
