Timestep,Cr2+/Cr3+ Ratio
7,2.5969813134e-18
8,2.5391853817e-18
9,2.4848542571e-18
10,2.4354160950e-18
11,2.3898126386e-18
12,2.3482004181e-18
13,2.3100945283e-18
14,2.2751715377e-18
15,2.2435987610e-18
16,2.2142394338e-18
17,2.1873951968e-18
18,2.1626588429e-18
19,2.1399157744e-18
20,2.1186814939e-18
21,2.0984840429e-18
22,2.0799026404e-18
23,2.0627196858e-18
24,2.0464059754e-18
26,2.0166428884e-18
28,1.9903343780e-18
29,1.9780282454e-18
30,1.9664938221e-18
31,1.9553851342e-18
32,1.9448291984e-18
33,1.9348181854e-18
34,1.9252483702e-18
35,1.9161477737e-18
36,1.9075041917e-18
37,1.8992307353e-18
38,1.8911691415e-18
39,1.8836036997e-18
40,1.8762916267e-18
41,1.8693147483e-18
42,1.8624529403e-18
43,1.8560386478e-18
44,1.8496779290e-18
45,1.8435191338e-18
46,1.8376723603e-18
47,1.8320790738e-18
48,1.8266131862e-18
49,1.8214273091e-18
50,1.8162306372e-18
51,1.8111655910e-18
52,1.8063666429e-18
53,1.8017092521e-18
55,1.7928492714e-18
56,1.7885976369e-18
57,1.7845542270e-18
58,1.7805909170e-18
59,1.7767474257e-18
60,1.7730731627e-18
61,1.7694196595e-18
62,1.7659122131e-18
63,1.7624968308e-18
64,1.7590817908e-18
65,1.7558177168e-18
66,1.7525890356e-18
67,1.7494755943e-18
68,1.7464560794e-18
69,1.7434487809e-18
70,1.7405279495e-18
72,1.7347573801e-18
73,1.7320288987e-18
74,1.7292838360e-18
75,1.7266675141e-18
77,1.7216145868e-18
78,1.7191385289e-18
79,1.7167818725e-18
81,1.7121572491e-18
82,1.7099054915e-18
83,1.7077139690e-18
84,1.7055342116e-18
85,1.7034064649e-18
86,1.7013298597e-18
87,1.6992641965e-18
89,1.6952908833e-18
90,1.6933342378e-18
91,1.6914480634e-18
92,1.6895310436e-18
93,1.6877195211e-18
94,1.6858971405e-18
95,1.6841346420e-18
96,1.6823840751e-18
97,1.6806567897e-18
98,1.6789665483e-18
102,1.6725640100e-18
104,1.6694542593e-18
108,1.6635968282e-18
109,1.6621875789e-18
110,1.6608781529e-18
111,1.6595161502e-18
112,1.6581442764e-18
114,1.6555823942e-18
115,1.6542665900e-18
116,1.6529807713e-18
117,1.6518280816e-18
118,1.6506392685e-18
119,1.6494778502e-18
121,1.6470892954e-18
122,1.6458951797e-18
123,1.6448064820e-18
124,1.6436958916e-18
125,1.6426071643e-18
126,1.6414721768e-18
127,1.6403593451e-18
128,1.6393597719e-18
129,1.6383140789e-18
130,1.6373637778e-18
131,1.6363224278e-18
132,1.6352641841e-18
133,1.6343471454e-18
134,1.6333309895e-18
135,1.6323643895e-18
136,1.6314598357e-18
138,1.6296224314e-18
139,1.6287297510e-18
140,1.6277848878e-18
141,1.6269498431e-18
142,1.6260223946e-18
143,1.6251548599e-18
144,1.6243746851e-18
145,1.6234766959e-18
146,1.6226901667e-18
147,1.6217960365e-18
148,1.6210532994e-18
149,1.6202602960e-18
150,1.6195315520e-18
151,1.6187106988e-18
152,1.6178936146e-18
153,1.6170615700e-18
154,1.6163347801e-18
155,1.6155831403e-18
156,1.6149090247e-18
157,1.6141170740e-18
158,1.6134255026e-18
160,1.6120976296e-18
161,1.6113824469e-18
163,1.6099835370e-18
164,1.6093632419e-18
165,1.6086578085e-18
166,1.6080133272e-18
167,1.6073077894e-18
168,1.6066968639e-18
169,1.6060840244e-18
171,1.6048157405e-18
172,1.6041649253e-18
173,1.6035793238e-18
175,1.6023165036e-18
176,1.6016478942e-18
177,1.6010865305e-18
178,1.6005320901e-18
180,1.5993125936e-18
181,1.5987957592e-18
183,1.5976060037e-18
184,1.5970802320e-18
187,1.5955693520e-18
189,1.5944784228e-18
192,1.5929428072e-18
194,1.5919276121e-18
198,1.5899931535e-18
200,1.5891233275e-18
201,1.5886910477e-18
202,1.5882967972e-18
204,1.5872330757e-18
205,1.5868465645e-18
207,1.5859409557e-18
208,1.5854849295e-18
209,1.5850712278e-18
210,1.5846901732e-18
211,1.5842012390e-18
212,1.5837987807e-18
213,1.5833928297e-18
214,1.5830121733e-18
215,1.5826253570e-18
216,1.5822176278e-18
217,1.5818315686e-18
218,1.5813776867e-18
219,1.5810223791e-18
220,1.5805926351e-18
221,1.5802046634e-18
222,1.5797860811e-18
223,1.5794300791e-18
225,1.5771596573e-18
228,1.5753807031e-18
229,1.5748918886e-18
231,1.5736786725e-18
232,1.5730794895e-18
235,1.5713623592e-18
237,1.5701705843e-18
238,1.5696590199e-18
240,1.5684921436e-18
243,1.5667134287e-18
249,1.5635501795e-18
250,1.5630640342e-18
