Timestep,Phase Type,Phase Name,Species,Mole Percentage
1,solution,bccsoln,Mo,98.73233897553932
1,solution,bccsoln,Ru,0.9193179119990801
1,solution,bccsoln,Tc,0.3483431124615887
1,solution,cphsoln,Mo,30.085020276991102
1,solution,cphsoln,Ru,69.82553657853254
1,solution,cphsoln,Tc,0.08944314447637144
1,solution,gas_ideal,Ba,5.4704076347691376e-70
1,solution,gas_ideal,Ba2,3.46643971688219e-169
1,solution,gas_ideal,BaF,5.5956742301312375e-42
1,solution,gas_ideal,BaF2,1.914989588091036e-16
1,solution,gas_ideal,Be,2.8018194095491765e-63
1,solution,gas_ideal,Be2,5.99706627340134e-158
1,solution,gas_ideal,Be2F4,1.5417236041877174e-08
1,solution,gas_ideal,BeF,1.7466954458540463e-36
1,solution,gas_ideal,BeF2,0.00025790182394463837
1,solution,gas_ideal,Ce,2.5984726467075953e-139
1,solution,gas_ideal,Ce2,1.081247633649926e-196
1,solution,gas_ideal,CeF3,1.1161562474023375e-15
1,solution,gas_ideal,Cr,7.022410507924456e-97
1,solution,gas_ideal,CrF,6.266738708645065e-54
1,solution,gas_ideal,CrF2,8.327352776634726e-32
1,solution,gas_ideal,CrF3,1.0327275943364985e-12
1,solution,gas_ideal,Cs,2.355137311765914e-36
1,solution,gas_ideal,Cs2,8.64701949059197e-101
1,solution,gas_ideal,Cs2Be2F6,1.6068520308444068e-19
1,solution,gas_ideal,Cs2F2,1.1955135966302712e-23
1,solution,gas_ideal,Cs2ZrF6,1.8693753784932542e-24
1,solution,gas_ideal,CsBeF3,9.39915498523616e-10
1,solution,gas_ideal,CsF,1.6545344512287018e-12
1,solution,gas_ideal,CsUF5,2.466300758329098e-12
1,solution,gas_ideal,CsZr2F9,1.0007241962496517e-18
1,solution,gas_ideal,CsZrF5,6.057771931377473e-14
1,solution,gas_ideal,F,2.7828301392390733
1,solution,gas_ideal,F2,73.7192081229511
1,solution,gas_ideal,He,10.648778118533562
1,solution,gas_ideal,La,1.090475781281039e-140
1,solution,gas_ideal,La2,1.081247633649926e-196
1,solution,gas_ideal,LaF3,1.3692476199353808e-16
1,solution,gas_ideal,Li,9.082064229671604e-34
1,solution,gas_ideal,Li2,3.75458871148002e-67
1,solution,gas_ideal,Li2BeF4,8.102041549711187e-07
1,solution,gas_ideal,Li2F2,9.954305607590647e-08
1,solution,gas_ideal,Li2ZrF6,4.834068970647493e-11
1,solution,gas_ideal,Li3F3,1.2898010876663377e-09
1,solution,gas_ideal,LiBeF3,3.3640879955149975e-05
1,solution,gas_ideal,LiF,7.390669031175653e-07
1,solution,gas_ideal,LiUF5,9.470448417966148e-09
1,solution,gas_ideal,LiZr2F9,4.933456412991962e-16
1,solution,gas_ideal,Nd,6.0044263684101754e-139
1,solution,gas_ideal,NdF3,5.767203780504939e-16
1,solution,gas_ideal,Ne,1.1030407390127388
1,solution,gas_ideal,Pu,4.745110685426769e-143
1,solution,gas_ideal,PuF,2.7480671636237492e-114
1,solution,gas_ideal,PuF2,5.5313154123943714e-52
1,solution,gas_ideal,PuF3,4.729769649173377e-23
1,solution,gas_ideal,PuF4,5.097298682361433e-136
1,solution,gas_ideal,PuF6,11.745849279600371
1,solution,gas_ideal,Rb,1.5030928885184654e-33
1,solution,gas_ideal,Rb2,3.082538494514659e-69
1,solution,gas_ideal,Rb2F2,8.997825770458817e-20
1,solution,gas_ideal,RbF,1.7049560536708644e-11
1,solution,gas_ideal,Sr,4.152174119845148e-68
1,solution,gas_ideal,Sr2,9.514160722453157e-167
1,solution,gas_ideal,SrF,4.050779975162742e-43
1,solution,gas_ideal,SrF2,2.4035072398240266e-18
1,solution,gas_ideal,Th,9.825466672715038e-169
1,solution,gas_ideal,ThF2,4.732010280179749e-65
1,solution,gas_ideal,ThF3,3.431021839354634e-37
1,solution,gas_ideal,ThF4,4.367787654142615e-09
1,solution,gas_ideal,U,4.3017743998502763e-157
1,solution,gas_ideal,UF3,2.084996368648965e-34
1,solution,gas_ideal,UF4,2.7532410032024516e-07
1,solution,gas_ideal,Zr,2.6118137063366316e-157
1,solution,gas_ideal,ZrF,1.4634852012465248e-129
1,solution,gas_ideal,ZrF2,8.258202583516927e-64
1,solution,gas_ideal,ZrF3,4.128103987066387e-36
1,solution,gas_ideal,ZrF4,1.0226527234283169e-07
2,solution,bccsoln,Mo,98.84907260681818
2,solution,bccsoln,Ru,0.9159057012446549
2,solution,bccsoln,Tc,0.2350216919371649
2,solution,cphsoln,Mo,30.104186898598428
2,solution,cphsoln,Ru,69.83518082514327
2,solution,cphsoln,Tc,0.06063227625830525
2,solution,gas_ideal,Ba,9.697238761552129e-70
2,solution,gas_ideal,Ba2,3.5515961512252697e-166
2,solution,gas_ideal,BaF,9.7451879228031e-42
2,solution,gas_ideal,BaF2,3.276525928157891e-16
2,solution,gas_ideal,Be,2.9032633553324757e-63
2,solution,gas_ideal,Be2,2.853400501380009e-150
2,solution,gas_ideal,Be2F4,1.5421857759973093e-08
2,solution,gas_ideal,BeF,1.778168355834302e-36
2,solution,gas_ideal,BeF2,0.000257940477440415
2,solution,gas_ideal,Ce,7.400155954565305e-133
2,solution,gas_ideal,Ce2,5.343667301787993e-197
2,solution,gas_ideal,CeF3,2.1586358351112032e-15
2,solution,gas_ideal,Cr,1.16102244096623e-73
2,solution,gas_ideal,CrF,1.1794115693472315e-53
2,solution,gas_ideal,CrF2,1.5397143457228448e-31
2,solution,gas_ideal,CrF3,1.8759807200489467e-12
2,solution,gas_ideal,Cs,2.386888433482148e-36
2,solution,gas_ideal,Cs2,2.2301748097827094e-96
2,solution,gas_ideal,Cs2Be2F6,1.5935167192172968e-19
2,solution,gas_ideal,Cs2F2,1.1852366890109795e-23
