Timestep,Cr2+/Cr3+ Ratio
1,2.8871868665e-18
2,2.9346236661e-18
4,2.9699091443e-18
5,2.9785121852e-18
6,2.9837969843e-18
7,2.9893261436e-18
9,2.9922006536e-18
10,2.9925149768e-18
11,2.9935054222e-18
12,2.9935733746e-18
14,2.9900133288e-18
15,2.9889289580e-18
16,2.9873744273e-18
17,2.9830063780e-18
18,2.9805064436e-18
19,2.9767305325e-18
20,2.9740065475e-18
21,2.9709258021e-18
23,2.9641602471e-18
24,2.9614879381e-18
25,2.9574913285e-18
26,2.9534267390e-18
27,2.9509837083e-18
28,2.9471107020e-18
29,2.9426060235e-18
30,2.9400018858e-18
31,2.9371528592e-18
32,2.9345838126e-18
34,2.9255088870e-18
35,2.9230503412e-18
36,2.9197437116e-18
37,2.9165053326e-18
38,2.9127730694e-18
39,2.9086857859e-18
40,2.9056493158e-18
41,2.9025315232e-18
42,2.8981070451e-18
43,2.8959303550e-18
44,2.8933685764e-18
45,2.8889542054e-18
46,2.8852688214e-18
47,2.8985513378e-18
48,2.8794718221e-18
49,2.8758824143e-18
50,2.8847175855e-18
52,2.8677349665e-18
53,2.8650940161e-18
54,2.8623432709e-18
55,2.8597669002e-18
56,2.8562528051e-18
57,2.8532789040e-18
58,2.8491099317e-18
59,2.8474759819e-18
60,2.8455812523e-18
61,2.8439862511e-18
62,2.8404226514e-18
63,2.8371694139e-18
64,2.8340128267e-18
65,2.8308760038e-18
66,2.8287986490e-18
67,2.8271642324e-18
69,2.8215531228e-18
70,2.8180286208e-18
71,2.8153109774e-18
72,2.8139512945e-18
73,2.8124448174e-18
75,2.8059275572e-18
76,2.8028884436e-18
77,2.8016385145e-18
78,2.7971925665e-18
79,2.7959986875e-18
80,2.7941742626e-18
81,2.7924847785e-18
82,2.7913470980e-18
83,2.7868228690e-18
84,2.7857213319e-18
86,2.7804535500e-18
87,2.7793297295e-18
88,2.7765841422e-18
89,2.7741628148e-18
90,2.7727391555e-18
91,2.7706455476e-18
92,2.7687949795e-18
93,2.7661662622e-18
94,2.7645564503e-18
95,2.7621962157e-18
96,2.7611760738e-18
97,2.7574990545e-18
98,2.7535125033e-18
99,2.7526676165e-18
100,2.7517180877e-18
101,2.7486293040e-18
102,2.7477652277e-18
103,2.7449564067e-18
104,2.7428282620e-18
105,2.7419268136e-18
106,2.7386118702e-18
107,2.7362197746e-18
108,2.7337880364e-18
109,2.7329326764e-18
110,2.7321455230e-18
112,2.7277305579e-18
113,2.7259401901e-18
115,2.7217185889e-18
116,2.7208730852e-18
117,2.7176668564e-18
118,2.7157110278e-18
119,2.7138395845e-18
120,2.7119960717e-18
121,2.7111681825e-18
122,2.7081698685e-18
