Timestep,UF3/UF4 Ratio
1,9.4392186614e-22
2,9.5642031679e-22
4,9.6379094408e-22
5,9.6534187862e-22
6,9.6585631848e-22
7,9.6718337106e-22
9,9.6652310894e-22
10,9.6602821380e-22
11,9.6621665103e-22
12,9.6598853202e-22
14,9.6378560171e-22
15,9.6338288562e-22
16,9.6280024789e-22
17,9.6056686178e-22
18,9.5956105301e-22
19,9.5773401463e-22
20,9.5665822199e-22
21,9.5535018688e-22
23,9.5258807631e-22
24,9.5164201910e-22
25,9.4988611257e-22
26,9.4811725854e-22
27,9.4730944666e-22
28,9.4568027465e-22
29,9.4356378532e-22
30,9.4273441696e-22
31,9.4169263489e-22
32,9.4086719073e-22
34,9.3666719937e-22
35,9.3589268249e-22
36,9.3454706417e-22
37,9.3322952270e-22
38,9.3161143847e-22
39,9.2975441783e-22
40,9.2856087645e-22
41,9.2728959473e-22
42,9.2519653846e-22
43,9.2450424402e-22
44,9.2358247439e-22
45,9.2148883476e-22
46,9.1983543150e-22
47,9.2619820593e-22
48,9.1745533661e-22
49,9.1581050357e-22
50,9.2046719982e-22
52,9.1248746967e-22
53,9.1142660286e-22
54,9.1025778298e-22
55,9.0920367152e-22
56,9.0756268076e-22
57,9.0627854180e-22
58,9.0424466918e-22
59,9.0372746234e-22
60,9.0304523402e-22
61,9.0254025748e-22
62,9.0082315879e-22
63,8.9937150958e-22
64,8.9790161047e-22
65,8.9646721963e-22
66,8.9564025938e-22
67,8.9507794890e-22
69,8.9252465332e-22
70,8.9085924906e-22
71,8.8960055816e-22
72,8.8917290962e-22
73,8.8864077003e-22
75,8.8554815104e-22
76,8.8407839671e-22
77,8.8369123575e-22
78,8.8141612928e-22
79,8.8104424339e-22
80,8.8028006573e-22
81,8.7963678242e-22
82,8.7927735933e-22
83,8.7695727645e-22
84,8.7661529003e-22
86,8.7414889350e-22
87,8.7379245901e-22
88,8.7252432149e-22
89,8.7138688748e-22
90,8.7084350259e-22
91,8.6990244663e-22
92,8.6910881915e-22
93,8.6787495712e-22
94,8.6719497664e-22
95,8.6609374128e-22
96,8.6576972152e-22
97,8.6393557452e-22
98,8.6192776551e-22
99,8.6166731527e-22
100,8.6136602747e-22
101,8.5985859456e-22
102,8.5958683671e-22
103,8.5822609107e-22
104,8.5720955174e-22
105,8.5694094013e-22
106,8.5529776971e-22
107,8.5417221091e-22
108,8.5298994787e-22
109,8.5273742498e-22
110,8.5249091777e-22
112,8.5039082067e-22
113,8.4963212211e-22
115,8.4765538166e-22
116,8.4739098054e-22
117,8.4578712486e-22
118,8.4491369188e-22
119,8.4401245619e-22
120,8.4322186231e-22
121,8.4290553517e-22
122,8.4143216484e-22
124,8.4034776873e-22
125,8.3928533045e-22
126,8.3900088065e-22
127,8.3700830384e-22
128,8.3677431952e-22
129,8.3518551057e-22
130,8.3498238765e-22
131,8.3460649133e-22
132,8.3318645965e-22
133,8.3284184422e-22
134,8.3126695932e-22
136,8.3007141531e-22
137,8.2988995335e-22
138,8.2884428310e-22
139,8.2761254505e-22
140,8.2709514586e-22
141,8.2621427997e-22
142,8.2623300679e-22
143,8.2483904166e-22
144,8.2385994421e-22
145,8.2331537241e-22
147,8.2199903888e-22
148,8.2185732276e-22
